MaPhieu,DiemPhucVu,DiemViTri,DiemChatLuong,DiemGiaCa,DiemKhongGian,BinhLuan
000001,9,8,10,7,9,Tuyệt vời
000002,8,7,9,6,8,Khá tốt
000003,7,6,8,7,7,Đạt yêu cầu
000004,6,6,7,5,6,Chấp nhận được
000005,10,9,10,9,10,Xuất sắc
000006,9,8,8,7,8,Tốt
000007,7,7,6,8,7,Khá
000008,6,5,7,6,6,Trung bình
000009,8,7,8,7,7,Tốt
000010,9,9,9,8,9,Xuất sắc
000011,5,4,6,5,5,Không hài lòng
000012,10,10,10,10,10,Tuyệt vời
000013,8,7,7,8,7,Khá tốt
000014,7,8,8,7,7,Được
000015,9,8,9,9,8,Tuyệt vời
000016,6,6,7,6,6,Chấp nhận được
000017,8,7,8,6,7,Tốt
000018,9,8,9,8,9,Xuất sắc
000019,7,7,7,6,7,Đạt yêu cầu
000020,10,9,9,10,10,Chất lượng
000021,6,5,7,6,5,Trung bình
000022,9,8,10,9,9,Tuyệt vời
000023,8,7,8,7,8,Tốt
000024,5,4,5,5,5,Không hài lòng
000025,10,10,10,10,10,Xuất sắc
000026,9,8,9,8,9,Xuất sắc
000027,7,6,8,7,7,Đạt yêu cầu
000028,6,6,7,6,7,Chấp nhận được
000029,8,9,8,8,9,Tuyệt vời
000030,7,6,7,6,7,Khá
000031,8,8,9,9,8,Xuất sắc
000032,6,5,6,5,5,Trung bình
000033,9,9,8,8,9,Tuyệt vời
000034,7,6,6,7,6,Khá
000035,10,10,10,10,10,Đặc biệt
000036,8,7,9,8,7,Tốt
000037,7,6,7,7,7,Đạt yêu cầu
000038,9,9,9,8,9,Xuất sắc
000039,5,5,6,5,5,Không hài lòng
000040,9,8,9,9,9,Tuyệt vời
000041,8,7,7,8,7,Khá tốt
000042,10,9,10,10,10,Chất lượng
000043,7,6,7,6,7,Đạt yêu cầu
000044,6,5,6,5,6,Trung bình
000045,8,7,8,7,7,Tốt
000046,9,8,9,8,8,Xuất sắc
000047,7,6,8,7,7,Khá
000048,8,9,8,8,8,Tuyệt vời
000049,9,8,9,8,9,Xuất sắc
000050,6,6,7,6,7,Trung bình
000051,9,8,9,8,9,Tuyệt vời
000052,7,6,7,7,7,Đạt yêu cầu
000053,8,7,9,8,8,Tốt
000054,6,5,6,5,6,Chấp nhận được
000055,9,8,8,9,9,Xuất sắc
000056,7,7,7,6,7,Khá
000057,9,8,9,9,8,Tuyệt vời
000058,8,7,8,7,8,Tốt
000059,6,5,6,6,6,Trung bình
000060,10,9,10,10,10,Chất lượng
000061,7,6,8,7,6,Đạt yêu cầu
000062,9,9,9,8,9,Xuất sắc
000063,8,7,8,8,7,Tốt
000064,6,6,7,6,6,Trung bình
000065,10,9,10,10,10,Đặc biệt
000066,7,6,7,7,7,Khá
000067,8,7,8,7,8,Tốt
000068,9,8,9,8,9,Tuyệt vời
000069,6,5,6,6,6,Chấp nhận được
000070,8,7,9,8,7,Tốt
000071,9,8,9,8,9,Xuất sắc
000072,7,6,7,7,7,Đạt yêu cầu
000073,6,5,6,5,5,Trung bình
000074,9,8,9,9,9,Xuất sắc
000075,10,9,10,10,10,Đặc biệt
000076,8,7,8,7,8,Tốt
000077,7,6,7,7,7,Khá
000078,9,8,9,8,9,Tuyệt vời
000079,6,5,6,5,6,Chấp nhận được
000080,8,7,8,7,8,Tốt
000081,7,6,7,7,7,Khá
000082,9,8,9,8,9,Xuất sắc
000083,6,5,6,5,5,Trung bình
000084,8,7,8,7,7,Tốt
000085,9,8,9,9,9,Xuất sắc
000086,7,6,7,7,7,Đạt yêu cầu
000087,9,9,9,9,8,Tuyệt vời
000088,6,5,6,6,6,Trung bình
000089,8,7,8,7,8,Tốt
000090,10,9,10,10,10,Đặc biệt
000091,7,6,7,7,7,Khá
000092,9,8,9,8,9,Xuất sắc
000093,8,7,8,7,8,Tốt
000094,6,5,6,6,6,Chấp nhận được
000095,9,8,9,8,9,Tuyệt vời
000096,7,6,7,7,7,Khá
000097,8,7,8,7,8,Tốt
000098,9,8,9,8,9,Xuất sắc
000099,6,5,6,6,6,Trung bình
000100,10,9,10,10,10,Chất lượng
